mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
5.5,,1701652069592,1701806776219,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lg0q,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000lg0q&format=geojson,,,4.194,green,reviewed,0,465,us,7000lg0q,",usauto7000lg0q,pt23338000,us7000lg0q,",",usauto,pt,us,",",internal-moment-tensor,internal-origin,losspager,origin,phase-data,shakemap,",108.0,1.866,0.78,82.0,mww,earthquake,M 5.5 - 
4.5,,1701652000330,1701729781679,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lg0s,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000lg0s&format=geojson,3.0,4.3,,,reviewed,0,313,us,7000lg0s,",us7000lg0s,",",us,",",dyfi,origin,phase-data,",30.0,1.765,0.69,130.0,mb,earthquake,M 4.5 - 
2.5,,1701651925887,1701728343040,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023fj09v3g,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023fj09v3g&format=geojson,,,,,automatic,0,96,ak,023fj09v3g,",us7000lg0n,ak023fj09v3g,",",us,ak,",",origin,phase-data,",,,0.73,,ml,earthquake,M 2.5 - 
0.02,Southern Alaska,1701650826260,1701819776930,,https://earthquake.usgs.gov/earthquakes/eventpage/av91123273,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91123273&format=geojson,,,,,reviewed,0,0,av,91123273,",av91123273,",",av,",",origin,phase-data,",4.0,,0.07,309.0,ml,earthquake,M 0.0 - Southern Alaska
1.35,"4 km NNW of Boron, CA",1701650723070,1701891993173,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39722282,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39722282&format=geojson,,,,,reviewed,0,28,ci,39722282,",ci39722282,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",27.0,0.1019,0.15,59.0,ml,quarry blast,"M 1.4 Quarry Blast - 4 km NNW of Boron, CA"
4.9,,1701650666843,1701651791040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lg0m,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000lg0m&format=geojson,,,,,reviewed,0,369,us,7000lg0m,",us7000lg0m,",",us,",",origin,phase-data,",81.0,2.049,0.76,108.0,mb,earthquake,M 4.9 - 
1.09,"1 km NNE of The Geysers, CA",1701650545320,1701660259850,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73971456,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73971456&format=geojson,,,,,automatic,0,18,nc,73971456,",nc73971456,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",15.0,0.01669,0.02,81.0,md,earthquake,"M 1.1 - 1 km NNE of The Geysers, CA"
0.92,"22 km ENE of Thermal, CA",1701650543250,1701826474206,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39722274,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39722274&format=geojson,,,,,reviewed,0,13,ci,39722274,",ci39722274,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",31.0,0.09145,0.12,68.0,ml,earthquake,"M 0.9 - 22 km ENE of Thermal, CA"
4.8,"53 km E of Barcelona, Philippines",1701650343482,1701651236040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lg0i,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000lg0i&format=geojson,,,,,reviewed,0,354,us,7000lg0i,",us7000lg0i,",",us,",",origin,phase-data,",69.0,1.69,0.94,111.0,mb,earthquake,"M 4.8 - 53 km E of Barcelona, Philippines"
0.81,"7 km NW of The Geysers, CA",1701650028570,1701653113989,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73971451,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73971451&format=geojson,,,,,automatic,0,10,nc,73971451,",nc73971451,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",10.0,0.0104,0.01,89.0,md,earthquake,"M 0.8 - 7 km NW of The Geysers, CA"
1.6,"55 km S of Whites City, New Mexico",1701649978194,1701980369588,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023xrtq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023xrtq&format=geojson,,,,,reviewed,0,39,tx,2023xrtq,",tx2023xrtq,",",tx,",",origin,phase-data,",11.0,0.0,0.3,91.0,ml,earthquake,"M 1.6 - 55 km S of Whites City, New Mexico"
1.88,"1 km NE of Prattville, CA",1701649473530,1701726250374,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73971446,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73971446&format=geojson,,,,,reviewed,0,54,nc,73971446,",nc73971446,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",17.0,0.03537,0.09,189.0,md,earthquake,"M 1.9 - 1 km NE of Prattville, CA"
1.09,,1701648532979,1701782964707,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2023xrsw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2023xrsw&format=geojson,,,,,reviewed,0,18,ok,2023xrsw,",ok2023xrsw,",",ok,",",origin,phase-data,",14.0,0.1205763388,0.06,165.0,ml,earthquake,M 1.1 - 
0.74,"4 km NNW of The Geysers, CA",1701648522050,1701657910602,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73971441,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73971441&format=geojson,,,,,automatic,0,8,nc,73971441,",nc73971441,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",11.0,0.007933,0.01,118.0,md,earthquake,"M 0.7 - 4 km NNW of The Geysers, CA"
1.2,"4 km ENE of Meridian, Oklahoma",1701648520880,1701782087684,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2023xrsv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2023xrsv&format=geojson,,,,,reviewed,0,22,ok,2023xrsv,",ok2023xrsv,",",ok,",",origin,phase-data,",24.0,0.1259752794,0.17,97.0,ml,earthquake,"M 1.2 - 4 km ENE of Meridian, Oklahoma"
1.5,"56 km SSW of Whites City, New Mexico",1701648401463,1701987678098,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023xrst,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023xrst&format=geojson,,,,,reviewed,0,35,tx,2023xrst,",tx2023xrst,",",tx,",",origin,phase-data,",10.0,0.0,0.2,105.0,ml,earthquake,"M 1.5 - 56 km SSW of Whites City, New Mexico"
1.51,"15 km NW of Westmorland, CA",1701648180790,1701712421071,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39722266,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39722266&format=geojson,,,,,reviewed,0,35,ci,39722266,",ci39722266,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",6.0,0.09299,0.24,269.0,ml,earthquake,"M 1.5 - 15 km NW of Westmorland, CA"
0.44,"18 km NW of Parkfield, CA",1701647149700,1701855973206,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73971426,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73971426&format=geojson,,,,,reviewed,0,3,nc,73971426,",nc73971426,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",19.0,0.0295,0.07,100.0,md,earthquake,"M 0.4 - 18 km NW of Parkfield, CA"
3.91,"98 km N of Brenas, Puerto Rico",1701647022940,1701648727114,,https://earthquake.usgs.gov/earthquakes/eventpage/pr2023337002,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2023337002&format=geojson,,,,,reviewed,0,235,pr,2023337002,",us7000lg0c,pr2023337002,",",us,pr,",",origin,phase-data,",18.0,1.0596,0.22,232.0,md,earthquake,"M 3.9 - 98 km N of Brenas, Puerto Rico"
1.9,,1701646917081,1701647025982,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023fhq1u3g,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023fhq1u3g&format=geojson,,,,,automatic,0,56,ak,023fhq1u3g,",ak023fhq1u3g,",",ak,",",origin,phase-data,",,,0.97,,ml,earthquake,M 1.9 - 
1.15,"10 km WNW of The Geysers, CA",1701646575670,1701941712496,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73971421,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73971421&format=geojson,,,,,reviewed,0,20,nc,73971421,",nc73971421,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",40.0,0.006726,0.02,56.0,md,earthquake,"M 1.2 - 10 km WNW of The Geysers, CA"
1.9,Southern Alaska,1701646496589,1701646601079,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023fhq0c1m,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023fhq0c1m&format=geojson,,,,,automatic,0,56,ak,023fhq0c1m,",ak023fhq0c1m,",",ak,",",origin,phase-data,",,,0.29,,ml,earthquake,M 1.9 - Southern Alaska
1.9,"56 km SSW of Whites City, New Mexico",1701646138334,1701730585740,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023xrrn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023xrrn&format=geojson,,,,,reviewed,0,56,tx,2023xrrn,",tx2023xrrn,",",tx,",",origin,phase-data,",21.0,0.0,0.2,80.0,ml,earthquake,"M 1.9 - 56 km SSW of Whites City, New Mexico"
5.1,"Mindanao, Philippines",1701645912776,1701649925306,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lg0a,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000lg0a&format=geojson,1.0,2.0,,,reviewed,0,400,us,7000lg0a,",us7000lg0a,",",us,",",dyfi,origin,phase-data,",94.0,1.795,0.84,84.0,mb,earthquake,"M 5.1 - Mindanao, Philippines"
0.8,"6 km NW of The Geysers, CA",1701645329220,1701645970257,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73971416,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73971416&format=geojson,,,,,automatic,0,10,nc,73971416,",nc73971416,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",13.0,0.006839,0.01,75.0,md,earthquake,"M 0.8 - 6 km NW of The Geysers, CA"
0.76,"16 km ESE of Little Lake, CA",1701645262550,1701718487021,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39722242,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39722242&format=geojson,,,,,reviewed,0,9,ci,39722242,",ci39722242,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",22.0,0.08477,0.17,113.0,ml,earthquake,"M 0.8 - 16 km ESE of Little Lake, CA"
-0.18,"10 km NW of Parkfield, CA",1701645133850,1701851696639,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73971411,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73971411&format=geojson,,,,,reviewed,0,0,nc,73971411,",nc73971411,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",12.0,0.01163,0.08,67.0,md,earthquake,"M -0.2 - 10 km NW of Parkfield, CA"
2.2,,1701645059586,1701645155007,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023fhpv73a,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023fhpv73a&format=geojson,,,,,automatic,0,74,ak,023fhpv73a,",ak023fhpv73a,",",ak,",",origin,phase-data,",,,0.64,,ml,earthquake,M 2.2 - 
2.6,,1701644987088,1701712339533,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00869631,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00869631&format=geojson,,,,,reviewed,0,104,nn,00869631,",us7000lg06,nn00869631,",",us,nn,",",origin,phase-data,",7.0,0.214,0.1348,205.18,ml,earthquake,M 2.6 - 
0.73,,1701644334470,1701737725270,,https://earthquake.usgs.gov/earthquakes/eventpage/av92143186,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av92143186&format=geojson,,,,,reviewed,0,8,av,92143186,",av92143186,",",av,",",origin,phase-data,",5.0,,0.28,172.0,ml,earthquake,M 0.7 - 
1.5,"55 km S of Whites City, New Mexico",1701644240311,1701988029151,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023xrqm,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023xrqm&format=geojson,,,,,reviewed,0,35,tx,2023xrqm,",tx2023xrqm,",",tx,",",origin,phase-data,",12.0,0.0,0.2,68.0,ml,earthquake,"M 1.5 - 55 km S of Whites City, New Mexico"
1.6,Central Alaska,1701643944360,1701644065174,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023fhpiouc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023fhpiouc&format=geojson,,,,,automatic,0,39,ak,023fhpiouc,",ak023fhpiouc,",",ak,",",origin,phase-data,",,,1.14,,ml,earthquake,M 1.6 - Central Alaska
0.61,"5 km WNW of The Geysers, CA",1701643348850,1701647240396,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73971401,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73971401&format=geojson,,,,,automatic,0,6,nc,73971401,",nc73971401,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",13.0,0.004652,0.03,155.0,md,earthquake,"M 0.6 - 5 km WNW of The Geysers, CA"
5.1,"67 km ESE of Marihatag, Philippines",1701643339447,1701644333040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lg03,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000lg03&format=geojson,,,,,reviewed,0,400,us,7000lg03,",us7000lg03,",",us,",",origin,phase-data,",89.0,2.052,0.7,83.0,mb,earthquake,"M 5.1 - 67 km ESE of Marihatag, Philippines"
4.6,,1701643131144,1701646237040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lg04,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000lg04&format=geojson,,,,,reviewed,0,326,us,7000lg04,",us7000lg04,",",us,",",origin,phase-data,",50.0,2.145,1.1,99.0,mb,earthquake,M 4.6 - 
2.4,,1701643045927,1701643177607,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023fhpfh80,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023fhpfh80&format=geojson,,,,,automatic,0,89,ak,023fhpfh80,",ak023fhpfh80,",",ak,",",origin,phase-data,",,,0.78,,ml,earthquake,M 2.4 - 
1.04,"35 km WSW of False Pass, Alaska",1701642499760,1701736841840,,https://earthquake.usgs.gov/earthquakes/eventpage/av92143146,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av92143146&format=geojson,,,,,reviewed,0,17,av,92143146,",av92143146,",",av,",",origin,phase-data,",6.0,,0.32,83.0,ml,earthquake,"M 1.0 - 35 km WSW of False Pass, Alaska"
2.0,"55 km NW of Toyah, Texas",1701642414516,1701774749713,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023xrpm,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023xrpm&format=geojson,,,,,reviewed,0,62,tx,2023xrpm,",tx2023xrpm,",",tx,",",origin,phase-data,",22.0,0.1,0.2,61.0,ml,earthquake,"M 2.0 - 55 km NW of Toyah, Texas"
0.74,"2 km NNE of The Geysers, CA",1701642412530,1701642970940,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73971396,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73971396&format=geojson,,,,,automatic,0,8,nc,73971396,",nc73971396,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",9.0,0.0073,0.02,95.0,md,earthquake,"M 0.7 - 2 km NNE of The Geysers, CA"
4.8,,1701642196388,1701642958040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lfzy,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000lfzy&format=geojson,,,,,reviewed,0,354,us,7000lfzy,",us7000lfzy,",",us,",",origin,phase-data,",61.0,3.976,0.78,118.0,mb,earthquake,M 4.8 - 
4.9,"69 km ENE of Hinatuan, Philippines",1701642031570,1701643561040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lfzx,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000lfzx&format=geojson,,,,,reviewed,0,369,us,7000lfzx,",us7000lfzx,",",us,",",origin,phase-data,",72.0,2.026,0.73,119.0,mb,earthquake,"M 4.9 - 69 km ENE of Hinatuan, Philippines"
0.83,"7 km NW of The Geysers, CA",1701641720610,1701642610888,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73971391,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73971391&format=geojson,,,,,automatic,0,11,nc,73971391,",nc73971391,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",13.0,0.0104,0.02,97.0,md,earthquake,"M 0.8 - 7 km NW of The Geysers, CA"
2.13,,1701641709080,1701803235070,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61966202,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61966202&format=geojson,,,,,reviewed,0,70,uw,61966202,",uw61966202,",",uw,",",origin,phase-data,",6.0,0.5881,0.5,221.0,ml,explosion,M 2.1 Explosion - 
1.14,"6 km NW of The Geysers, CA",1701641603170,1702097953079,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73971386,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73971386&format=geojson,,,,,reviewed,0,20,nc,73971386,",nc73971386,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",45.0,0.007275,0.03,40.0,md,earthquake,"M 1.1 - 6 km NW of The Geysers, CA"
4.5,,1701641557642,1701648030040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lfzw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000lfzw&format=geojson,,,,,reviewed,0,312,us,7000lfzw,",us7000lfzw,",",us,",",origin,phase-data,",32.0,2.052,0.73,90.0,mb,earthquake,M 4.5 - 
1.24,"30 km WSW of Lima, Montana",1701641542100,1701716669090,,https://earthquake.usgs.gov/earthquakes/eventpage/mb90034933,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb90034933&format=geojson,,,,,reviewed,0,24,mb,90034933,",mb90034933,",",mb,",",origin,phase-data,",9.0,0.2155,0.03,115.0,ml,earthquake,"M 1.2 - 30 km WSW of Lima, Montana"
0.76,"6 km NW of The Geysers, CA",1701641439020,1701642130836,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73971381,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73971381&format=geojson,,,,,automatic,0,9,nc,73971381,",nc73971381,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",9.0,0.00585,0.01,85.0,md,earthquake,"M 0.8 - 6 km NW of The Geysers, CA"
1.08,"6 km NW of The Geysers, CA",1701641384270,1701645914250,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73971376,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73971376&format=geojson,,,,,automatic,0,18,nc,73971376,",nc73971376,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",25.0,0.006662,0.02,38.0,md,earthquake,"M 1.1 - 6 km NW of The Geysers, CA"
4.9,"Izu Islands, Japan region",1701641302156,1701642459040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lfzt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000lfzt&format=geojson,,,,,reviewed,0,369,us,7000lfzt,",us7000lfzt,",",us,",",origin,phase-data,",69.0,1.55,0.68,120.0,mb,earthquake,"M 4.9 - Izu Islands, Japan region"
4.6,,1701641148240,1701705953160,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lfzn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000lfzn&format=geojson,33.0,4.1,,,reviewed,0,339,us,7000lfzn,",us7000lfzn,",",us,",",dyfi,origin,phase-data,",60.0,0.284,0.91,52.0,mb,earthquake,M 4.6 - 
0.9,"87 km N of Karluk, Alaska",1701640992547,1701817501590,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023fhp85ue,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023fhp85ue&format=geojson,,,,,automatic,0,12,ak,023fhp85ue,",av92143141,ak023fhp85ue,",",av,ak,",",origin,phase-data,",,,0.22,,ml,earthquake,"M 0.9 - 87 km N of Karluk, Alaska"
0.78,"1 km NE of The Geysers, CA",1701640905380,1701641471772,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73971371,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73971371&format=geojson,,,,,automatic,0,9,nc,73971371,",nc73971371,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",8.0,0.006792,0.01,97.0,md,earthquake,"M 0.8 - 1 km NE of The Geysers, CA"
1.8,"37 km NNW of Toyah, Texas",1701640754019,1701730489728,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023xroo,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023xroo&format=geojson,,,,,reviewed,0,50,tx,2023xroo,",tx2023xroo,",",tx,",",origin,phase-data,",14.0,0.0,0.1,69.0,ml,earthquake,"M 1.8 - 37 km NNW of Toyah, Texas"
1.16,"6 km NW of The Geysers, CA",1701640591760,1702099572210,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73971366,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73971366&format=geojson,,,,,reviewed,0,21,nc,73971366,",nc73971366,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",43.0,0.006986,0.03,39.0,md,earthquake,"M 1.2 - 6 km NW of The Geysers, CA"
5.4,"Mindanao, Philippines",1701639821052,1701726485176,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lfzh,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000lfzh&format=geojson,,,3.999,green,reviewed,0,449,us,7000lfzh,",pt23337005,us7000lfzh,",",pt,us,",",internal-origin,losspager,origin,phase-data,shakemap,",117.0,2.03,0.65,75.0,mb,earthquake,"M 5.4 - Mindanao, Philippines"
1.69,"59 km WSW of Adak, Alaska",1701638893740,1701817249470,,https://earthquake.usgs.gov/earthquakes/eventpage/av91123263,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91123263&format=geojson,,,,,reviewed,0,44,av,91123263,",av91123263,",",av,",",origin,phase-data,",4.0,,0.19,195.0,ml,earthquake,"M 1.7 - 59 km WSW of Adak, Alaska"
1.59,"8 km NW of The Geysers, CA",1701638564950,1701979993828,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73971356,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73971356&format=geojson,,,,,reviewed,0,39,nc,73971356,",nc73971356,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",45.0,0.01065,0.04,35.0,md,earthquake,"M 1.6 - 8 km NW of The Geysers, CA"
1.5,"48 km NW of Toyah, Texas",1701638492776,1702045765446,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023xrnh,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023xrnh&format=geojson,,,,,reviewed,0,35,tx,2023xrnh,",tx2023xrnh,",",tx,",",origin,phase-data,",14.0,0.0,0.1,56.0,ml,earthquake,"M 1.5 - 48 km NW of Toyah, Texas"
0.26,"7 km NW of The Geysers, CA",1701638140440,1701639010541,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73971351,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73971351&format=geojson,,,,,automatic,0,1,nc,73971351,",nc73971351,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",12.0,0.00942,0.01,67.0,md,earthquake,"M 0.3 - 7 km NW of The Geysers, CA"
0.39,"6 km WNW of Cobb, CA",1701638067780,1701860359595,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73971346,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73971346&format=geojson,,,,,reviewed,0,2,nc,73971346,",nc73971346,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",15.0,0.002883,0.02,48.0,md,earthquake,"M 0.4 - 6 km WNW of Cobb, CA"
1.07,"7 km NW of The Geysers, CA",1701637823070,1701641656790,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73971341,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73971341&format=geojson,,,,,automatic,0,18,nc,73971341,",nc73971341,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",24.0,0.009661,0.02,51.0,md,earthquake,"M 1.1 - 7 km NW of The Geysers, CA"
1.49,"7 km NW of The Geysers, CA",1701637721840,1701977111524,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73971336,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73971336&format=geojson,,,,,reviewed,0,34,nc,73971336,",nc73971336,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",41.0,0.006196,0.03,32.0,md,earthquake,"M 1.5 - 7 km NW of The Geysers, CA"
4.7,"52 km E of Barcelona, Philippines",1701637697234,1701640589040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lfzf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000lfzf&format=geojson,,,,,reviewed,0,340,us,7000lfzf,",us7000lfzf,",",us,",",origin,phase-data,",34.0,1.71,0.48,76.0,mb,earthquake,"M 4.7 - 52 km E of Barcelona, Philippines"
1.55,"13 km SE of Waimea, Hawaii",1701637625090,1701732066630,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73672272,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73672272&format=geojson,,,,,reviewed,0,37,hv,73672272,",hv73672272,",",hv,",",origin,phase-data,",20.0,,0.24,124.0,md,earthquake,"M 1.6 - 13 km SE of Waimea, Hawaii"
1.55,"2 km N of The Geysers, CA",1701637003710,1701974774290,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73971326,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73971326&format=geojson,,,,,reviewed,0,37,nc,73971326,",nc73971326,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",42.0,0.009116,0.04,54.0,md,earthquake,"M 1.6 - 2 km N of The Geysers, CA"
1.7,"29 km SSW of South Van Horn, Alaska",1701636792783,1701640867229,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023fhoc0ge,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023fhoc0ge&format=geojson,1.0,3.4,,,automatic,0,45,ak,023fhoc0ge,",ak023fhoc0ge,",",ak,",",dyfi,origin,phase-data,",,,0.79,,ml,earthquake,"M 1.7 - 29 km SSW of South Van Horn, Alaska"
0.21,,1701636658070,1701816111600,,https://earthquake.usgs.gov/earthquakes/eventpage/av92143106,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av92143106&format=geojson,,,,,reviewed,0,1,av,92143106,",av92143106,",",av,",",origin,phase-data,",6.0,,0.13,210.0,ml,earthquake,M 0.2 - 
0.57,"39 km ENE of Adak, Alaska",1701636383770,1701816824800,,https://earthquake.usgs.gov/earthquakes/eventpage/av91123258,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91123258&format=geojson,,,,,reviewed,0,5,av,91123258,",av91123258,",",av,",",origin,phase-data,",5.0,,0.24,151.0,ml,earthquake,"M 0.6 - 39 km ENE of Adak, Alaska"
